Phase,Period,Frequency,Duty,Work
-25,21,0.047619048,50,0.000828335
0,21,0.047619048,50,0.001530122
25,21,0.047619048,50,-0.001798974
50,21,0.047619048,50,-0.002490779
-25,21,0.047619048,69,0.001539121
0,21,0.047619048,69,0.000227353
25,21,0.047619048,69,-0.002969804
50,21,0.047619048,69,-0.001373858
-25,25,0.04,50,0.00014436
0,25,0.04,50,0.000982971
25,25,0.04,50,-0.001200682
50,25,0.04,50,-0.001970369
-25,25,0.04,69,0.000713848
0,25,0.04,69,0.000184397
25,25,0.04,69,-0.00212
50,25,0.04,69,-0.001457029
-25,35,0.028571429,50,0.000667322
0,35,0.028571429,50,0.001341134
25,35,0.028571429,50,-0.001487017
50,35,0.028571429,50,-0.001837812
-25,35,0.028571429,69,0.001330481
0,35,0.028571429,69,0.000397324
25,35,0.028571429,69,-0.002227982
50,35,0.028571429,69,-0.000928917
